"SOURCE/TARGET","1-SSR00051","2-SSR00052","3-SSR00053","4-SSR00054","5-SSR00055","6-SSR00056","7-SSR00057","8-SSR00058","9-SSR00059","10-SSR00060","11-SSR00061","12-SSR00062","13-SSR00063","14-SSR00064","15-SSR00065","16-SSR00066","17-SSR00067","18-SSR00068","19-SSR00069","20-SSR00070","21-SSR00071","22-SSR00072","23-SSR00073","24-SSR00074","25-SSR00075","26-SSR00076","27-SSR00077","28-SSR00078","29-SSR00079","30-SSR00080","31-SSR00081","32-SSR00082","33-SSR00083","34-SSR00084","35-SSR00085","36-SSR00086","37-SSR00087","38-SSR00088","39-SSR00089","40-SSR00090","41-SSR00091","42-SSR00092","43-SSR00093","44-SSR00094","45-SSR00095","46-SSR00096","47-SSR00097","48-SSR00098","49-SSR00099","50-SSR00100"
"1-SSR00001","33","33","34","34","33","32","32","33","33","33","34","34","35","31","35","34","35","33","30","37","32","35","32","33","34","33","33","35","36","36","36","36","34","34","32","29","37","35","29","32","33","33","36","30","34","33","27","36","36","36"
"2-SSR00002","37","31","33","27","19","33","13","35","35","34","32","34","33","27","27","35","22","28","30","35","35","35","33","34","36","35","34","34","9","11","11","6","34","33","35","32","29","34","37","34","35","32","27","31","35","34","35","25","26","26"
"3-SSR00003","35","35","34","31","30","34","33","34","34","32","33","31","35","32","31","35","31","33","33","34","33","33","34","33","35","35","31","35","34","33","33","34","38","34","30","30","26","31","35","33","35","34","27","31","36","31","30","30","31","32"
"4-SSR00004","35","33","39","29","33","36","31","29","28","32","32","36","32","33","29","38","34","35","33","36","34","36","33","38","39","32","32","33","31","33","33","31","37","33","36","36","34","37","36","33","35","37","32","34","37","27","37","31","31","32"
"5-SSR00005","34","31","34","30","34","34","34","27","27","34","36","33","29","30","32","36","34","33","30","34","31","37","35","32","33","32","34","34","35","37","37","36","36","31","32","32","36","36","34","29","37","36","35","34","32","34","34","29","26","28"
"6-SSR00006","35","34","30","31","32","35","29","35","35","34","38","36","34","30","34","32","30","34","35","33","34","34","33","38","35","35","36","35","31","32","32","31","35","29","36","35","35","33","31","33","35","35","35","35","31","35","37","35","34","34"
"7-SSR00007","35","36","36","36","31","33","32","34","34","33","30","31","34","34","34","35","33","35","31","35","34","36","36","29","32","36","32","34","31","32","32","31","35","35","23","20","31","33","37","28","35","30","28","20","35","33","31","33","33","32"
"8-SSR00008","31","35","36","31","32","31","33","34","34","32","35","35","35","33","34","34","32","33","31","31","33","36","34","36","36","38","32","33","34","34","34","35","37","35","34","32","33","34","35","32","35","32","32","37","35","36","35","33","32","32"
"9-SSR00009","37","32","32","27","19","33","13","36","36","34","34","34","34","29","27","37","22","29","31","34","35","35","33","35","36","36","34","33","11","14","14","2","34","32","34","31","29","32","36","34","36","33","29","31","35","33","34","25","26","26"
"10-SSR00010","37","34","32","27","17","32","15","37","37","34","33","33","35","30","28","37","22","28","31","34","35","35","34","34","36","37","34","33","12","14","14","4","35","34","34","31","28","33","37","34","36","33","28","31","35","33","34","25","26","26"
"11-SSR00011","33","29","31","25","32","35","27","27","27","32","34","33","29","30","27","32","30","32","30","34","31","36","33","33","34","33","29","30","29","31","31","30","36","29","34","32","34","33","35","30","33","32","30","34","31","34","32","29","27","27"
"12-SSR00012","35","29","33","35","33","35","34","32","32","34","37","32","32","30","31","34","33","30","32","34","30","32","35","35","31","32","33","34","33","35","34","32","33","25","31","31","34","32","32","30","32","34","33","31","34","36","34","35","34","34"
"13-SSR00013","35","29","33","35","33","35","34","31","31","34","37","32","30","28","31","34","33","30","31","34","30","33","35","33","31","32","32","35","32","34","33","32","33","25","30","31","34","32","31","29","32","33","32","31","34","36","34","34","33","33"
"14-SSR00014","36","34","32","31","36","36","34","30","30","33","35","34","32","33","34","36","35","29","33","32","34","31","32","36","36","31","36","27","35","35","35","35","33","28","36","33","35","33","32","37","33","34","34","36","31","35","35","33","33","34"
"15-SSR00015","31","32","33","32","29","35","31","34","33","33","34","32","34","30","32","36","32","33","32","34","37","32","33","31","34","35","32","34","32","31","30","30","33","34","35","32","19","27","37","33","37","30","20","30","36","30","35","28","29","29"
"16-SSR00016","34","38","35","31","36","36","35","36","36","31","36","33","38","37","32","34","38","33","32","33","36","32","37","37","36","32","36","11","38","38","38","37","38","36","36","38","35","31","31","32","35","32","32","32","35","35","37","33","32","33"
"17-SSR00017","35","33","33","28","33","34","32","31","31","35","35","35","32","31","35","34","31","31","32","32","27","35","33","37","34","33","37","31","30","30","30","33","35","29","35","32","36","33","34","37","32","33","36","34","30","38","35","35","35","35"
"18-SSR00018","31","34","36","31","32","35","33","29","29","35","34","31","33","32","33","34","33","31","30","35","32","35","34","36","36","33","33","30","32","35","35","33","35","29","32","33","33","31","32","31","35","29","31","32","32","35","32","33","33","33"
"19-SSR00019","35","30","35","31","28","31","32","28","28","35","33","34","27","30","34","35","33","35","30","34","32","35","35","29","34","35","26","34","35","35","34","33","32","36","33","31","26","29","36","26","36","28","26","31","35","32","33","29","29","27"
"20-SSR00020","38","31","36","30","27","34","27","30","30","32","33","31","30","32","30","35","28","35","33","35","31","36","34","34","38","31","31","33","25","27","27","25","35","32","35","34","31","33","38","31","36","35","32","30","37","30","35","29","30","30"
"21-SSR00021","34","37","34","32","30","29","33","36","36","27","36","34","35","35","35","33","35","29","32","33","32","34","33","35","35","34","32","36","35","35","35","35","33","33","32","31","34","33","29","36","31","32","34","30","33","35","29","31","31","31"
"22-SSR00022","33","32","38","38","38","37","40","33","32","34","37","30","34","33","35","36","36","37","37","36","34","33","35","37","38","33","37","36","37","39","39","37","35","31","34","36","38","38","34","35","37","39","39","36","35","37","37","38","38","37"
"23-SSR00023","35","33","37","34","36","38","35","34","34","33","35","39","33","33","38","37","38","37","37","37","31","38","36","38","38","36","39","37","35","35","35","36","39","36","38","37","38","36","36","39","38","37","37","37","36","37","37","37","37","37"
"24-SSR00024","31","33","34","33","32","31","33","29","29","35","36","30","29","35","35","31","33","28","31","34","29","32","32","34","34","31","30","33","35","35","35","35","32","30","33","31","34","32","31","33","33","33","34","30","30","33","30","32","32","32"
"25-SSR00025","37","34","28","25","17","29","18","35","35","34","32","32","32","29","30","36","26","27","28","32","33","33","35","34","34","36","29","34","15","16","15","14","30","32","36","33","28","33","35","33","35","34","26","31","34","33","35","27","26","26"
"26-SSR00026","30","34","33","34","33","33","33","34","34","25","38","31","36","35","33","31","34","30","32","33","34","35","30","36","32","36","33","31","36","36","36","36","35","33","31","31","35","33","34","31","28","34","33","31","30","34","33","34","34","34"
"27-SSR00027","31","36","35","32","33","37","34","33","33","32","36","19","34","33","35","34","33","30","32","34","32","25","34","36","33","36","36","32","33","34","34","34","38","33","36","35","33","30","36","34","32","33","33","31","33","32","31","32","32","31"
"28-SSR00028","33","32","35","34","36","36","37","31","31","34","33","24","29","35","36","31","34","31","35","35","29","26","36","33","34","32","36","34","39","39","39","38","38","32","34","35","38","35","32","34","32","35","37","34","32","38","34","32","32","34"
"29-SSR00029","32","33","32","34","33","35","33","31","31","34","33","28","33","31","34","34","34","32","29","33","31","33","32","38","35","32","35","34","37","37","37","36","36","32","34","31","35","31","33","34","32","31","35","32","31","31","30","32","32","31"
"30-SSR00030","33","31","35","33","35","37","35","32","31","29","34","33","29","30","31","33","36","31","33","31","25","32","29","34","36","25","36","30","36","36","36","34","35","27","35","33","36","32","33","34","34","35","35","32","30","28","37","33","33","34"
"31-SSR00031","30","36","36","35","35","36","34","34","33","34","35","33","32","34","34","33","37","33","34","34","34","33","32","34","30","39","37","35","36","36","36","36","36","30","34","35","35","31","34","35","34","32","35","34","32","34","33","35","34","33"
"32-SSR00032","33","37","37","31","32","32","31","33","33","30","33","31","34","36","31","32","32","34","27","35","31","34","28","36","35","34","35","31","29","30","30","33","36","29","31","29","32","32","33","34","34","33","33","27","34","31","31","32","32","32"
"33-SSR00033","30","31","34","27","32","33","33","26","26","34","35","26","28","31","30","32","34","29","29","33","29","30","32","35","35","26","34","32","34","35","35","34","35","29","34","33","32","33","33","32","31","32","31","36","30","33","34","28","28","29"
"34-SSR00034","33","30","32","31","34","36","34","26","26","34","35","31","26","32","28","32","34","33","30","32","27","33","31","33","35","23","33","33","36","37","37","36","35","30","30","31","34","34","33","28","32","34","32","31","34","33","34","32","32","33"
"35-SSR00035","35","38","34","33","33","35","33","36","36","32","36","32","35","35","30","36","29","34","24","31","30","32","30","36","36","33","36","32","33","33","33","33","38","32","33","32","34","29","36","33","33","32","33","34","36","28","32","30","31","31"
"36-SSR00036","39","35","33","29","29","35","25","36","36","34","34","32","35","29","32","34","27","33","34","36","36","32","37","31","36","36","35","35","23","24","24","21","35","37","33","35","29","34","38","30","36","34","25","32","35","35","37","26","27","29"
"37-SSR00037","32","28","36","33","34","36","35","26","26","33","36","32","28","35","35","36","32","29","34","34","29","31","35","32","33","28","37","34","35","36","36","32","36","32","33","33","33","34","35","34","35","34","33","34","32","37","33","32","32","33"
"38-SSR00038","30","30","37","34","34","33","37","28","28","37","36","35","28","32","38","34","36","33","33","36","31","35","33","33","33","36","36","37","37","37","37","38","35","33","35","33","35","34","35","34","36","33","34","33","31","34","31","33","33","31"
"39-SSR00039","35","33","28","31","33","38","33","33","33","39","36","34","32","35","35","37","32","30","35","34","37","34","36","35","36","33","37","31","33","34","34","32","38","35","37","35","36","37","33","31","36","37","31","36","33","37","39","31","30","32"
"40-SSR00040","30","32","34","31","33","36","31","32","32","32","34","30","35","33","27","37","35","33","28","35","36","36","33","36","29","30","35","33","32","32","32","32","36","31","36","34","32","32","33","34","33","32","29","32","32","31","29","28","27","26"
"41-SSR00041","33","33","36","33","35","37","36","32","32","36","36","38","31","36","34","37","34","35","34","37","34","35","33","34","37","35","37","34","37","37","37","37","37","36","37","35","34","33","36","35","37","34","34","37","32","35","36","32","32","32"
"42-SSR00042","33","31","35","29","22","25","26","30","30","35","31","33","28","30","33","35","28","33","31","33","31","36","34","31","34","37","31","36","30","31","31","27","34","32","31","30","30","33","36","30","35","32","32","33","35","34","32","28","28","27"
"43-SSR00043","32","36","37","32","33","36","32","34","34","28","32","33","35","33","32","37","33","33","28","32","34","36","25","33","31","33","36","37","33","32","32","34","38","32","33","30","33","33","37","35","35","35","31","33","35","29","33","28","29","29"
"44-SSR00044","34","36","36","32","36","37","34","35","35","32","36","17","35","36","34","35","34","31","29","33","36","22","36","35","32","32","36","28","36","36","36","35","38","34","32","33","33","32","37","33","34","35","29","32","33","35","34","29","29","30"
"45-SSR00045","33","37","34","35","37","36","37","36","36","31","36","23","34","35","36","36","36","34","32","33","35","26","35","35","34","34","36","32","38","38","38","38","38","36","34","33","33","34","38","34","34","36","31","33","34","35","32","30","30","31"
"46-SSR00046","33","35","35","30","31","33","31","33","33","33","34","31","31","33","35","36","34","33","29","34","30","32","31","37","36","33","33","32","32","32","31","32","36","32","35","33","34","31","36","37","35","32","32","33","32","33","30","29","29","28"
"47-SSR00047","38","32","33","27","17","31","16","36","36","33","32","33","34","27","30","36","23","29","29","34","35","35","33","33","35","36","32","35","9","12","11","7","33","32","35","31","28","33","37","32","35","33","27","30","35","34","34","26","27","27"
"48-SSR00048","33","37","34","34","37","36","36","37","37","32","36","25","34","36","36","35","35","34","32","33","35","26","35","35","34","34","36","33","38","38","38","36","38","37","35","34","32","34","38","34","34","36","32","34","33","35","32","30","30","31"
"49-SSR00049","31","34","33","36","36","36","36","35","35","32","36","36","36","33","35","33","36","33","35","30","33","36","36","37","31","36","39","37","37","37","37","37","38","33","33","34","37","35","32","35","27","36","36","36","36","34","37","36","36","36"
"50-SSR00050","36","36","36","34","29","33","32","34","34","36","36","34","35","35","36","36","34","34","28","37","35","34","34","36","37","36","32","35","34","34","33","34","35","35","36","35","35","34","34","32","35","35","35","35","35","36","34","32","32","32"
